Erro na linha 1: 'identificador' inesperado [prog], esperava 'program'
Erro na linha 4: 'char' inesperado, esperava 'begin' ou 'var' ou 'procedure'
Erro na linha 5: 'const' inesperado, esperava 'begin' ou 'var' ou 'procedure'
Erro na linha 8: 'procedure' inesperado, esperava ';'
Erro na linha 8: 'identificador' inesperado [x], esperava ':'
Erro na linha 8: 'identificador' inesperado [y], esperava ':'
Erro na linha 8: ')' inesperado, esperava ':'
Erro na linha 15: 'end' inesperado, esperava ';'
Erro na linha 16: ')' inesperado, esperava 'identificador'
Erro na linha 20: 'identificador' inesperado [x], esperava 'do'
Erro na linha 23: ')' inesperado, esperava 'identificador'
